objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection (provenance),identifier,type,format,language,rights,rightsstatement
coll001,fetalimages.jpg,Fetal Images,Emma Goldman Clinic,2003,"A flyer sent to the Emma Goldman Clinic and neighborhoods in Iowa City describing abortion as murder through fetal images. Fake fetal Images are often created and blown up in size to emphasize the 'humanness' of the fetus. Fetal images are a staple of protests outside of clinics and are meant to instill fear and horror in those walking in; attempting to show women that their baby is already alive and a full-bodied human being. 3D ultrasounds were created in the 1980's, and more recently 4D ultrasound videos, which show realistic pictures that accentuate features of 'human' traits on the fetus. These technoogies have helped cement many of the pictures of fetuses that protesters bring to the clinic.",murder;fetus,"Iowa City, Iowa","41.6644401,-91.5355538",,Image appears courtesy of Iowa Women's Archive,,Photo,image/jpeg,eng,,
coll002,di-1983-01-24.pdf,Operation Rescue,Daily Iowan,1983,"Daily Iowan Headline and Article describing Operation Rescue; a yearly pilgrimage to abortion clinics by pro-life protesters to ""rescue"" the unborn. Operation Rescue was created in 1986 by Randall Terry. It is seen as one of the more militant groups of the pro-life movement, so much so that many other groups, such as Concerned Women of America, filed lawsuits against this group.",Operationrescue;protest,"Iowa City, Iowa","39.9067479,-75.066593",,Image appears courtesy of University of Iowa Daily Iowan Digital Archives(http://dailyiowan.lib.uiowa.edu/DI/1991/di1991-09-04.pdf),,Photo,image/pdf,eng,,
coll003,Bombing.pdf,Bomb Threats to Clinics,Daily Iowan,1998,"Daily Iowan reports that for the second time in the last week, an independent abortion clinic has been bombed. Bombing of clinics is rare but was a common concern for clinics in the late 1970's into the 1980's, with the first starting in 1978. Crimes committed against abortion providers have included 41 bombings, 173 arsons, 91 attempted bombings or arsons, 619 bomb threats, 1630 incidents of trespassing, 1264 incidents of vandalism, and 100 attacks with butyric acid. These physical attacks have led in some instances for people to feel emboldened to shoot and sometimes murder abortion providers in the United States. The first recorded bombing of an abortion clinic was in Birmingham, Alabama.",violence;protest,"Iowa City, Iowa","33.51072573195725,-86.8144346292444",,Image appears courtesy of University of Iowa Daily Iowan Digital Archives (http://dailyiowan.lib.uiowa.edu/DI/1998/di1998-03-24.pdf),,Photo,image/pdf,eng,,
coll004,BlockingEntrance.jpg,Blocking Clinic Entrances,Press Citizen -Emma Goldman Clinic,1980,"Protesters sing while blocking the entrance to an OBGYN clinic (Towncrest Medical) -one tactic used to create a physical blockade while masquerading in peaceful protest. Singing hymns, contemporary Christian songs, and bringing instruments to clinics is a tactic used by peaceful protesters in the physical sense to create a space of perceived comfort for those walking into the clinic, while interrupting needed medical attention. Singing protesters are often part of less militant groups that come from local churches to create what they feel is a ""welcoming"" space.",protest;singing;prayer,"Iowa City, Iowa","41.649985,-91.5016812",,Image appears courtesy of Iowa Women's Archive,,Photo,image/jpeg,eng,,
coll005,Prayer.jpg,Sidewalk Prayer,Emma Goldman Clinic,1988,"Group of people praying in front of the Emma Goldman Clinic. Praying in front of clinics is a tactic used by Evangelicals as well as Catholics, with Catholic women in particular praying with rosaries in front of clinics since the 1960's (before Roe v. Wade).",prayer;protest,"Iowa City, Iowa","41.6644401,-91.5355538",,Image appears courtesy of Iowa Women's Archive,,Photo,image/jpeg,eng,,
coll006,15.jpg,Picketing,Emma Goldman Clinic,None,"Picketing is a strange term to describe the way protesters stand outside of clinics as it is often used to legitimize striking from work and other practices that are violent toward people and non-humans. However, in this case those who are picketing believe that they are striking against abortion practices as murder taking place in clinics. By walking in circles and holding up signs that condemn abortion as a practice of murder, they are speaking out against the practices of clinics, which they believe are murdering babies and selling or carelessly disposing their body parts. ",picketing;protest;signs,"Iowa City, Iowa","41.6644401,-91.5355538",,Image appears courtesy of Iowa Women's Archive,,Photo,image/jpeg,eng,,
coll007,16.jpg,Trespassing,Emma Goldman Clinic,1982,"Many protesters have been arrested for blocking clinic doors. In Iowa City, many protesters outside of Emma Goldman and Towncrest Medical have been arrested since the 1970's for trespassing past the clinic doors and getting too close to the clinic.",trespassing;arrests;blockade,"Iowa City, Iowa","41.649985,-91.5016812",,Image appears courtesy of Iowa Women's Archive,,Photo,image/jpeg,eng,,
coll008,Sidewalk Laws.jpg,Sidewalk Laws,Emma Goldman Clinic,1988,"Sidewalk laws refer to those that do not allow protesters to get within a certain amount of feet from clinic doors and/or to not be able to pass property lines of clinics. Because sidewalk laws only exist in certain states and there is no federal mandate to enforce them as of now, there are too many various laws in each state and county to list. The only federal law against abortion clinic protesting and guidelines on distance was created by the Nixon administration.",sidewalk;trespassing,"Iowa City, Iowa","41.6644401,-91.5355538",,Image appears courtesy of Iowa Women's Archive,,Photo,image/jpeg,eng,,
coll009,Terrorism.jpg,"""Terrorism""",Emma Goldman Clinic,1988,"Abortion is often referred to as ""terrorism"" by those who are within the pro-life movement, which is evidenced by the many posters that proclaim the procedure as murder, terrorism, and genocide. This language of terrorism has been taken up by the pro-choice movement to describe those who take part in anti-choice, violent protest. Some anti-choice groups have been deemed terrorist groups officially by the department of justice. ",terrorism;anti-choice;signs,"Iowa City, Iowa","41.6644401,-91.5355538",,Image appears courtesy of Iowa Women's Archive,,Photo,image/jpeg,eng,,
coll010,Diein.jpg,Blood and Gore,Emma Goldman Clinic,None,"A woman paints herself in hand prints of blood in order to make a statement that the clinic has ""blood on their hands."" Blood is a common theme within clinic protest and is used as a performance tool by protesters. Die-ins are used when protesters pretend to be dead, just like the supposed fetuses within the clinics, by lying on the lawn and parking lot in front of the clinic; all of these tactics are taken from other more progressive activist groups of the 70's and 80's such as ACTUP!",die-in;blood;fetus;protest;performance,"Iowa City, Iowa","30.4571189,-91.1896208",,Image appears courtesy of Iowa Women's Archive,,Photo,image/jpeg,eng,,
